seed,round_zero_based,observed_update_one_based,status,Q_before,Q_after_observed_before_next_update,Q_change,classification,active_questions,active_traces
31,7,3,eligible,-25.915945165344986,-25.786540288871848,0.12940487647313859,positive,8,51
31,8,1,eligible,-26.95091421868289,-26.766778175147138,0.18413604353575153,positive,8,49
31,8,2,eligible,-26.766778175147138,-26.709463400543495,0.057314774603643315,positive,8,49
31,8,3,eligible,-26.709463400543495,-26.695820682459487,0.0136427180840073,positive,8,49
31,9,1,eligible,-18.843696393155007,-18.901751223213815,-0.05805483005880774,negative,8,59
31,9,2,eligible,-18.901751223213815,-18.49614740556354,0.40560381765027387,positive,8,59
31,9,3,eligible,-18.49614740556354,-18.393487771821277,0.10265963374226317,positive,8,59
31,10,1,eligible,-38.52901942933863,-38.490442503468756,0.03857692586987582,positive,8,45
31,10,2,eligible,-38.490442503468756,-38.469855374998104,0.020587128470651805,positive,8,45
31,10,3,eligible,-38.469855374998104,-38.01611694323037,0.4537384317677322,positive,8,45
31,11,1,eligible,-22.304839367755285,-22.397355547507107,-0.09251617975182214,negative,8,57
31,11,2,eligible,-22.397355547507107,-22.232158576409716,0.16519697109739084,positive,8,57
31,11,3,eligible,-22.232158576409716,-22.014389388465695,0.21776918794402178,positive,8,57
31,12,1,eligible,-18.590183548363697,-18.401009287608687,0.18917426075500998,positive,8,60
31,12,2,eligible,-18.401009287608687,-18.434844474309976,-0.03383518670128893,negative,8,60
31,12,3,eligible,-18.434844474309976,-18.14953221476452,0.28531225954545647,positive,8,60
31,13,1,eligible,-16.791411739747303,-16.470747990041303,0.3206637497060001,positive,8,58
31,13,2,eligible,-16.470747990041303,-15.934425299646678,0.5363226903946252,positive,8,58
31,13,3,eligible,-15.934425299646678,-15.793997517827622,0.14042778181905646,positive,8,58
31,14,1,eligible,-12.793087171671914,-12.795483033941082,-0.002395862269167992,negative,8,58
31,14,2,eligible,-12.795483033941082,-12.895266890786388,-0.09978385684530622,negative,8,58
31,14,3,eligible,-12.895266890786388,-12.49086538948518,0.40440150130120855,positive,8,58
31,15,1,eligible,-15.927019711626869,-16.031436565505913,-0.10441685387904442,negative,8,58
31,15,2,eligible,-16.031436565505913,-15.764504198657274,0.2669323668486392,positive,8,58
31,15,3,eligible,-15.764504198657274,-15.51118431197678,0.25331988668049377,positive,8,58
31,16,1,eligible,-15.134621737339671,-14.816339022481072,0.31828271485859894,positive,8,64
31,16,2,eligible,-14.816339022481072,-14.616384190718318,0.19995483176275464,positive,8,64
31,16,3,eligible,-14.616384190718318,-14.415654083152146,0.20073010756617116,positive,8,64
31,17,1,eligible,-14.02836856512559,-13.763989069908538,0.2643794952170513,positive,8,62
31,17,2,eligible,-13.763989069908538,-12.912526612425657,0.8514624574828815,positive,8,62
31,17,3,eligible,-12.912526612425657,-12.556979212623261,0.35554739980239525,positive,8,62
31,18,1,eligible,-4.471291150199249,-4.121068405918777,0.3502227442804724,positive,8,64
31,18,2,eligible,-4.121068405918777,-3.7413304136134684,0.3797379923053086,positive,8,64
31,18,3,eligible,-3.7413304136134684,-3.537811104208231,0.20351930940523744,positive,8,64
31,19,1,eligible,-5.596016146242619,-5.444829700514674,0.15118644572794437,positive,8,64
31,19,2,eligible,-5.444829700514674,-5.3091706382110715,0.1356590623036027,positive,8,64
31,19,3,eligible,-5.3091706382110715,-5.15190682047978,0.15726381773129106,positive,8,64
31,20,1,eligible,-5.834500708442647,-5.736677467473783,0.09782324096886441,positive,8,64
31,20,2,eligible,-5.736677467473783,-5.290892387158237,0.4457850803155452,positive,8,64
31,20,3,eligible,-5.290892387158237,-4.612149733002298,0.6787426541559398,positive,8,64
31,21,1,eligible,-4.082188168610628,-3.7636910420619643,0.3184971265486638,positive,8,64
31,21,2,eligible,-3.7636910420619643,-3.4138445347598463,0.34984650730211797,positive,8,64
31,21,3,eligible,-3.4138445347598463,-3.1241597937660117,0.28968474099383457,positive,8,64
31,22,1,eligible,-4.549605302061309,-4.151270271701833,0.39833503035947615,positive,8,64
31,22,2,eligible,-4.151270271701833,-3.8962969410008554,0.2549733307009774,positive,8,64
31,22,3,eligible,-3.8962969410008554,-3.3844438543083015,0.5118530866925539,positive,8,64
31,23,1,eligible,-2.6517276536920074,-2.3561721318997755,0.2955555217922319,positive,8,64
31,23,2,eligible,-2.3561721318997755,-1.9705836936496455,0.38558843825013,positive,8,64
31,23,3,eligible,-1.9705836936496455,-1.6820964362137911,0.28848725743585435,positive,8,64
31,24,1,eligible,-4.729013711082519,-4.245698395984997,0.48331531509752246,positive,8,64
31,24,2,eligible,-4.245698395984997,-3.9930476079280135,0.25265078805698327,positive,8,64
31,24,3,eligible,-3.9930476079280135,-3.78892355887404,0.20412404905397352,positive,8,64
31,25,1,eligible,-6.898538605833892,-5.876714672020171,1.021823933813721,positive,8,64
31,25,2,eligible,-5.876714672020171,-5.418499898572918,0.4582147734472528,positive,8,64
31,25,3,eligible,-5.418499898572918,-4.823734469129704,0.5947654294432141,positive,8,64
31,26,1,eligible,-1.3934096309822097,-1.281493700342257,0.11191593063995264,positive,8,64
31,26,2,eligible,-1.281493700342257,-1.1175106358714446,0.16398306447081246,positive,8,64
31,26,3,eligible,-1.1175106358714446,-0.9910592699889137,0.12645136588253092,positive,8,64
31,27,1,eligible,-3.707727077533491,-3.3820826132432558,0.3256444642902352,positive,8,64
31,27,2,eligible,-3.3820826132432558,-2.7267332847986836,0.6553493284445722,positive,8,64
31,27,3,eligible,-2.7267332847986836,-2.4283657741034403,0.29836751069524325,positive,8,64
31,28,1,eligible,-3.2510102535015903,-2.9751895740046166,0.27582067949697375,positive,8,64
31,28,2,eligible,-2.9751895740046166,-2.665113762457622,0.3100758115469944,positive,8,64
31,28,3,eligible,-2.665113762457622,-2.4214340592443477,0.24367970321327448,positive,8,64
31,29,1,eligible,-9.214759834701882,-8.41139143095285,0.8033684037490314,positive,8,64
31,29,2,eligible,-8.41139143095285,-7.654817063310534,0.7565743676423162,positive,8,64
31,29,3,eligible,-7.654817063310534,-6.989307838280977,0.6655092250295569,positive,8,64
31,30,1,eligible,-4.906712860800326,-4.352004061453044,0.5547087993472815,positive,8,64
31,30,2,eligible,-4.352004061453044,-4.06564427446574,0.2863597869873047,positive,8,64
31,30,3,eligible,-4.06564427446574,-3.6309951366856694,0.4346491377800703,positive,8,64
31,31,1,eligible,-3.5442314771988563,-3.3284680363776946,0.21576344082116172,positive,8,63
31,31,2,eligible,-3.3284680363776946,-2.9515641881207935,0.37690384825690115,positive,8,63
31,31,3,eligible,-2.9515641881207935,-2.6114162947106427,0.3401478934101507,positive,8,63
47,0,1,eligible,-26.735164416080817,-26.628567313568066,0.10659710251275101,positive,8,50
47,0,2,eligible,-26.628567313568066,-26.274197189577546,0.35437012399052037,positive,8,50
47,0,3,eligible,-26.274197189577546,-26.335136473953764,-0.060939284376217984,negative,8,50
47,1,1,eligible,-28.62468150908409,-28.421122257604654,0.20355925147943665,positive,8,44
47,1,2,eligible,-28.421122257604654,-28.252057548261657,0.16906470934299733,positive,8,44
47,1,3,eligible,-28.252057548261657,-28.137710501899868,0.1143470463617895,positive,8,44
47,2,1,eligible,-40.9702878861222,-41.130848845276475,-0.16056095915427449,negative,8,50
47,2,2,eligible,-41.130848845276475,-40.76112944115706,0.3697194041194152,positive,8,50
47,2,3,eligible,-40.76112944115706,-40.62215091107818,0.13897853007888017,positive,8,50
47,3,1,eligible,-36.918625618120096,-36.732913470897955,0.1857121472221408,positive,8,51
47,3,2,eligible,-36.732913470897955,-36.879784405722404,-0.1468709348244488,negative,8,51
47,3,3,eligible,-36.879784405722404,-36.68419224857518,0.19559215714722455,positive,8,51
47,4,1,eligible,-29.48463717376579,-29.38934106222785,0.09529611153794093,positive,8,50
47,4,2,eligible,-29.38934106222785,-29.35199683227269,0.03734422995515985,positive,8,50
47,4,3,eligible,-29.35199683227269,-28.850372084159986,0.5016247481127039,positive,8,50
47,5,1,eligible,-25.888154299997943,-25.76501629191574,0.12313800808220421,positive,8,51
47,5,2,eligible,-25.76501629191574,-25.664028228716475,0.10098806319926368,positive,8,51
47,5,3,eligible,-25.664028228716475,-25.93061494582985,-0.26658671711337334,negative,8,51
47,6,1,eligible,-37.39572350454601,-37.31580418133813,0.07991932320788209,positive,8,56
47,6,2,eligible,-37.31580418133813,-36.949823851439355,0.3659803298987754,positive,8,56
47,6,3,eligible,-36.949823851439355,-37.09367309301282,-0.1438492415734629,negative,8,56
47,7,1,eligible,-24.23518142361411,-24.157105391985013,0.07807603162909871,positive,8,57
47,7,2,eligible,-24.157105391985013,-24.078270110547013,0.07883528143799978,positive,8,57
47,7,3,eligible,-24.078270110547013,-23.78732515551483,0.29094495503218454,positive,8,57
47,8,1,eligible,-27.51548180694319,-27.23948894294909,0.27599286399409806,positive,8,53
47,8,2,eligible,-27.23948894294909,-27.344608378421626,-0.10511943547253466,negative,8,53
47,8,3,eligible,-27.344608378421626,-27.037124524810395,0.307483853611231,positive,8,53
47,9,1,eligible,-22.041479474722554,-21.90699132298984,0.13448815173271456,positive,8,54
47,9,2,eligible,-21.90699132298984,-21.71707844690738,0.18991287608245955,positive,8,54
47,9,3,eligible,-21.71707844690738,-21.750765855516516,-0.03368740860913633,negative,8,54
47,10,1,eligible,-35.98965268616804,-35.72608374085734,0.26356894531070196,positive,8,58
47,10,2,eligible,-35.72608374085734,-35.77197693927819,-0.045893198420849046,negative,8,58
47,10,3,eligible,-35.77197693927819,-35.413477012780405,0.3584999264977853,positive,8,58
47,11,1,eligible,-19.264139670703557,-19.148217909823323,0.11592176088023365,positive,8,58
47,11,2,eligible,-19.148217909823323,-19.09660986209928,0.051608047724041484,positive,8,58
47,11,3,eligible,-19.09660986209928,-18.67707560912389,0.41953425297539226,positive,8,58
47,12,1,eligible,-34.58675419805889,-34.21546360252065,0.37129059553824106,positive,8,54
47,12,2,eligible,-34.21546360252065,-34.117358577684826,0.0981050248358244,positive,8,54
47,12,3,eligible,-34.117358577684826,-33.9961915820281,0.12116699565672207,positive,8,54
47,13,1,eligible,-26.152374951713135,-26.34374477255023,-0.19136982083709597,negative,8,57
47,13,2,eligible,-26.34374477255023,-26.18467478658458,0.15906998596565103,positive,8,57
47,13,3,eligible,-26.18467478658458,-25.62541646004973,0.5592583265348487,positive,8,57
47,14,1,eligible,-21.48533945898816,-21.204075426780506,0.2812640322076554,positive,8,60
47,14,2,eligible,-21.204075426780506,-20.990904239012032,0.21317118776847366,positive,8,60
47,14,3,eligible,-20.990904239012032,-20.918882676196745,0.07202156281528715,positive,8,60
47,15,1,eligible,-19.598882328813488,-19.310522383631906,0.2883599451815826,positive,8,60
47,15,2,eligible,-19.310522383631906,-19.22699473403918,0.08352764959272463,positive,8,60
47,15,3,eligible,-19.22699473403918,-18.560880636272486,0.6661140977666946,positive,8,60
47,16,1,eligible,-19.372119991511,-19.374703369570398,-0.0025833780593984557,negative,8,64
47,16,2,eligible,-19.374703369570398,-19.00848871620201,0.3662146533683881,positive,8,64
47,16,3,eligible,-19.00848871620201,-18.66907474442519,0.3394139717768212,positive,8,64
47,17,1,eligible,-12.028481200453825,-11.911487143137492,0.11699405731633306,positive,8,64
47,17,2,eligible,-11.911487143137492,-11.695204462273978,0.21628268086351454,positive,8,64
47,17,3,eligible,-11.695204462273978,-11.52161635167431,0.17358811059966683,positive,8,64
47,18,1,eligible,-10.890762386839924,-10.959175359379515,-0.06841297253959056,negative,8,64
47,18,2,eligible,-10.959175359379515,-10.612904818159222,0.3462705412202922,positive,8,64
47,18,3,eligible,-10.612904818159222,-10.398801842509783,0.21410297564943903,positive,8,64
47,19,1,eligible,-9.892597093192308,-9.719843869101169,0.1727532240911387,positive,8,64
47,19,2,eligible,-9.719843869101169,-9.262417515590641,0.4574263535105274,positive,8,64
47,19,3,eligible,-9.262417515590641,-9.00020014574693,0.2622173698437109,positive,8,64
47,20,1,eligible,-9.066378245261149,-8.939660628253478,0.12671761700767092,positive,8,64
47,20,2,eligible,-8.939660628253478,-8.437478424384608,0.5021822038688697,positive,8,64
47,20,3,eligible,-8.437478424384608,-7.955456546871574,0.48202187751303427,positive,8,64
47,21,1,eligible,-4.670142702823796,-4.591315168850997,0.07882753397279885,positive,8,64
47,21,2,eligible,-4.591315168850997,-4.307398600729357,0.28391656812164,positive,8,64
47,21,3,eligible,-4.307398600729357,-4.066299607606197,0.24109899312315974,positive,8,64
47,22,1,eligible,-5.208431044333338,-4.936566871761897,0.2718641725714406,positive,8,64
47,22,2,eligible,-4.936566871761897,-4.546244190898506,0.3903226808633917,positive,8,64
47,22,3,eligible,-4.546244190898506,-4.050442651179765,0.49580153971874097,positive,8,64
47,23,1,eligible,-6.839628553019295,-6.569857624360742,0.269770928658553,positive,8,64
47,23,2,eligible,-6.569857624360742,-6.219001015649581,0.35085660871116087,positive,8,64
47,23,3,eligible,-6.219001015649581,-5.65263204369838,0.5663689719512011,positive,8,64
47,24,1,eligible,-4.611579088526696,-4.173056415630072,0.4385226728966245,positive,8,64
47,24,2,eligible,-4.173056415630072,-3.9529996182936884,0.22005679733638317,positive,8,64
47,24,3,eligible,-3.9529996182936884,-3.5241714663488892,0.4288281519447992,positive,8,64
47,25,1,eligible,-6.366314338665688,-5.63131699978112,0.7349973388845683,positive,8,64
47,25,2,eligible,-5.63131699978112,-5.108915231494393,0.522401768286727,positive,8,64
47,25,3,eligible,-5.108915231494393,-4.700797479864377,0.40811775163001585,positive,8,64
47,26,1,eligible,-3.3462941106408834,-3.160607172176242,0.18568693846464157,positive,8,64
47,26,2,eligible,-3.160607172176242,-2.8400080893188715,0.3205990828573704,positive,8,64
47,26,3,eligible,-2.8400080893188715,-2.495541537180543,0.34446655213832855,positive,8,64
47,27,1,eligible,-3.411538650681905,-3.0402842961630085,0.37125435451889643,positive,8,64
47,27,2,eligible,-3.0402842961630085,-2.770165923604509,0.2701183725584997,positive,8,64
47,27,3,eligible,-2.770165923604509,-2.510580805283098,0.25958511832141085,positive,8,64
47,28,1,eligible,-6.18925703648409,-5.973846656624207,0.21541037985988254,positive,8,64
47,28,2,eligible,-5.973846656624207,-5.479463890537325,0.4943827660868827,positive,8,64
47,28,3,eligible,-5.479463890537325,-5.019070462717323,0.4603934278200015,positive,8,64
47,29,1,eligible,-4.269934505224228,-3.921417362987995,0.34851714223623276,positive,8,64
47,29,2,eligible,-3.921417362987995,-3.5736102499067783,0.3478071130812168,positive,8,64
47,29,3,eligible,-3.5736102499067783,-3.2426460832357407,0.3309641666710377,positive,8,64
47,30,1,eligible,-7.018728798255324,-6.318060257472098,0.7006685407832265,positive,8,64
47,30,2,eligible,-6.318060257472098,-5.307512699626386,1.0105475578457117,positive,8,64
47,30,3,eligible,-5.307512699626386,-4.9353236593306065,0.3721890402957797,positive,8,64
47,31,1,eligible,-3.6054982684861443,-3.489575056321428,0.11592321216471646,positive,8,64
47,31,2,eligible,-3.489575056321428,-3.075106695116574,0.41446836120485386,positive,8,64
47,31,3,eligible,-3.075106695116574,-2.776270682940776,0.2988360121757978,positive,8,64
73,0,1,eligible,-27.688122287328838,-27.963050054439954,-0.2749277671111159,negative,8,48
73,0,2,eligible,-27.963050054439954,-27.617035723291494,0.34601433114846003,positive,8,48
73,0,3,eligible,-27.617035723291494,-27.523633247100186,0.09340247619130793,positive,8,48
73,1,1,eligible,-23.5916562250994,-23.58546866340393,0.006187561695469412,positive,8,54
73,1,2,eligible,-23.58546866340393,-23.773360536409825,-0.1878918730058956,negative,8,54
73,1,3,eligible,-23.773360536409825,-23.34742887648217,0.4259316599276559,positive,8,54
73,2,1,eligible,-28.5116894855164,-28.736581817036495,-0.22489233152009547,negative,8,49
73,2,2,eligible,-28.736581817036495,-28.402696378994733,0.3338854380417615,positive,8,49
73,2,3,eligible,-28.402696378994733,-28.471497889142483,-0.06880151014775038,negative,8,49
73,3,1,eligible,-20.147238524046458,-20.178078511626666,-0.030839987580208117,negative,8,49
73,3,2,eligible,-20.178078511626666,-20.276189208809825,-0.09811069718315935,negative,8,49
73,3,3,eligible,-20.276189208809825,-20.034840857042013,0.24134835176781166,positive,8,49
73,4,1,eligible,-28.131481519237127,-28.03839112405592,0.09309039518120699,positive,8,54
73,4,2,eligible,-28.03839112405592,-28.070453804350848,-0.03206268029492776,negative,8,54
73,4,3,eligible,-28.070453804350848,-27.601889364169892,0.46856444018095544,positive,8,54
73,5,1,eligible,-22.36688696022037,-22.195333958655993,0.17155300156437647,positive,8,49
73,5,2,eligible,-22.195333958655993,-21.991346954672736,0.20398700398325786,positive,8,49
73,5,3,eligible,-21.991346954672736,-21.880911851882956,0.1104351027897792,positive,8,49
73,6,1,eligible,-19.094346507659665,-18.996472982045994,0.09787352561367157,positive,8,55
73,6,2,eligible,-18.996472982045994,-18.96945239734018,0.027020584705812922,positive,8,55
73,6,3,eligible,-18.96945239734018,-18.484288646340108,0.4851637510000728,positive,8,55
73,7,1,eligible,-12.358153844651042,-12.412953360955044,-0.05479951630400137,negative,8,57
73,7,2,eligible,-12.412953360955044,-12.241752796004675,0.17120056495036806,positive,8,57
73,7,3,eligible,-12.241752796004675,-12.14885268577541,0.09290011022926592,positive,8,57
73,8,1,eligible,-14.504898848631914,-14.435959107239572,0.0689397413923416,positive,8,60
73,8,2,eligible,-14.435959107239572,-14.225071926173317,0.21088718106625493,positive,8,60
73,8,3,eligible,-14.225071926173317,-14.169027104626824,0.05604482154649304,positive,8,60
73,9,1,eligible,-12.2354317510908,-12.245422591178794,-0.009990840087994002,negative,8,57
73,9,2,eligible,-12.245422591178794,-12.153304340798059,0.09211825038073584,positive,8,57
73,9,3,eligible,-12.153304340798059,-12.074141005665297,0.07916333513276186,positive,8,57
73,10,1,eligible,-16.693372472986994,-17.16804082443433,-0.47466835144733466,negative,8,54
73,10,2,eligible,-17.16804082443433,-16.868730315381267,0.2993105090530612,positive,8,54
73,10,3,eligible,-16.868730315381267,-16.906247093607114,-0.03751677822584654,negative,8,54
73,11,1,eligible,-24.60932530678546,-24.483174911297095,0.12615039548836648,positive,8,53
73,11,2,eligible,-24.483174911297095,-24.44136775075887,0.04180716053822309,positive,8,53
73,11,3,eligible,-24.44136775075887,-24.144719120643217,0.296648630115655,positive,8,53
73,12,1,eligible,-18.393916461471377,-18.462622577892176,-0.06870611642079893,negative,8,57
73,12,2,eligible,-18.462622577892176,-18.335000512583207,0.12762206530896947,positive,8,57
73,12,3,eligible,-18.335000512583207,-18.200132795609676,0.13486771697353106,positive,8,57
73,13,1,eligible,-14.980552302884462,-14.72642659014673,0.2541257127377321,positive,8,56
73,13,2,eligible,-14.72642659014673,-14.60815553667635,0.11827105347038014,positive,8,56
73,13,3,eligible,-14.60815553667635,-14.552726803900441,0.05542873277590843,positive,8,56
73,14,1,eligible,-12.385841442272067,-12.362073734402657,0.023767707869410515,positive,8,63
73,14,2,eligible,-12.362073734402657,-12.308975731953979,0.05309800244867802,positive,8,63
73,14,3,eligible,-12.308975731953979,-12.138045711442828,0.17093002051115036,positive,8,63
73,15,1,eligible,-13.717775123671117,-13.844302866139401,-0.12652774246828358,negative,8,59
73,15,2,eligible,-13.844302866139401,-13.496626664996484,0.3476762011429173,positive,8,59
73,15,3,eligible,-13.496626664996484,-13.22198453468718,0.27464213030930296,positive,8,59
73,16,1,eligible,-15.755004233184081,-15.26029277105772,0.49471146212636086,positive,8,64
73,16,2,eligible,-15.26029277105772,-15.313616987834394,-0.053324216776672984,negative,8,64
73,16,3,eligible,-15.313616987834394,-15.154130473012628,0.159486514821765,positive,8,64
73,17,1,eligible,-14.351205556071363,-14.300818147370592,0.05038740870077163,positive,8,64
73,17,2,eligible,-14.300818147370592,-14.30776905384846,-0.006950906477868557,negative,8,64
73,17,3,eligible,-14.30776905384846,-14.141932289116085,0.16583676473237574,positive,8,64
73,18,1,eligible,-10.55019396278658,-10.50599017564673,0.04420378713984974,positive,8,64
73,18,2,eligible,-10.50599017564673,-10.505262264050543,0.0007279115961864591,positive,8,64
73,18,3,eligible,-10.505262264050543,-10.233995818183757,0.27126644586678594,positive,8,64
73,19,1,eligible,-10.293026481335477,-10.358475075820936,-0.06544859448545814,negative,8,62
73,19,2,eligible,-10.358475075820936,-10.011146485609755,0.34732859021118045,positive,8,62
73,19,3,eligible,-10.011146485609755,-9.655201840009688,0.3559446456000668,positive,8,62
73,20,1,eligible,-13.539076915574697,-13.453890138790484,0.08518677678421227,positive,8,64
73,20,2,eligible,-13.453890138790484,-13.410148909487361,0.043741229303122964,positive,8,64
73,20,3,eligible,-13.410148909487361,-12.661215314961737,0.7489335945256244,positive,8,64
73,21,1,eligible,-7.715298039656773,-7.631056407772121,0.08424163188465172,positive,8,64
73,21,2,eligible,-7.631056407772121,-7.42908752488438,0.20196888288774062,positive,8,64
73,21,3,eligible,-7.42908752488438,-7.324953237519367,0.10413428736501373,positive,8,64
73,22,1,eligible,-6.713215152733028,-6.641382292844355,0.07183285988867283,positive,8,64
73,22,2,eligible,-6.641382292844355,-6.503215310163796,0.13816698268055916,positive,8,64
73,22,3,eligible,-6.503215310163796,-6.302975467406213,0.20023984275758266,positive,8,64
73,23,1,eligible,-3.9172162488102913,-3.935174632817507,-0.0179583840072155,negative,8,64
73,23,2,eligible,-3.935174632817507,-3.759506445378065,0.17566818743944168,positive,8,64
73,23,3,eligible,-3.759506445378065,-3.560738604515791,0.19876784086227417,positive,8,64
73,24,1,eligible,-3.860958816483617,-3.7579443706199527,0.10301444586366415,positive,8,64
73,24,2,eligible,-3.7579443706199527,-3.6534796310588717,0.10446473956108093,positive,8,64
73,24,3,eligible,-3.6534796310588717,-3.4147582901641726,0.2387213408946991,positive,8,64
73,25,1,eligible,-4.716140006610658,-4.486456511775032,0.22968349483562633,positive,8,64
73,25,2,eligible,-4.486456511775032,-4.322090616216883,0.16436589555814862,positive,8,64
73,25,3,eligible,-4.322090616216883,-4.2334892446233425,0.08860137159354053,positive,8,64
73,26,1,eligible,-4.607462266184208,-4.408963761084002,0.19849850510020595,positive,8,64
73,26,2,eligible,-4.408963761084002,-4.11658445963401,0.2923793014499916,positive,8,64
73,26,3,eligible,-4.11658445963401,-3.772182160666044,0.3444022989679665,positive,8,64
73,27,1,eligible,-3.9767443925535986,-3.7975160048365524,0.1792283877170462,positive,8,64
73,27,2,eligible,-3.7975160048365524,-3.63294125175031,0.16457475308624225,positive,8,64
73,27,3,eligible,-3.63294125175031,-3.121209306710682,0.511731945039628,positive,8,64
73,28,1,eligible,-3.3326682788319886,-3.1087732510641217,0.22389502776786685,positive,8,64
73,28,2,eligible,-3.1087732510641217,-2.676391707267612,0.4323815437965095,positive,8,64
73,28,3,eligible,-2.676391707267612,-2.235553684644401,0.44083802262321115,positive,8,64
73,29,1,eligible,-4.214026296538486,-3.931337832575674,0.282688463962812,positive,8,64
73,29,2,eligible,-3.931337832575674,-3.565028236492216,0.3663095960834579,positive,8,64
73,29,3,eligible,-3.565028236492216,-3.3292403576850162,0.23578787880719965,positive,8,64
73,30,1,eligible,-3.523551397025585,-3.169496485963464,0.3540549110621214,positive,8,64
73,30,2,eligible,-3.169496485963464,-2.846373165026307,0.3231233209371567,positive,8,64
73,30,3,eligible,-2.846373165026307,-2.5732774306088686,0.2730957344174385,positive,8,64
73,31,1,eligible,-4.23804180516447,-4.0140549708786954,0.2239868342857747,positive,8,64
73,31,2,eligible,-4.0140549708786954,-3.36188698938976,0.6521679814889354,positive,8,64
73,31,3,eligible,-3.36188698938976,-2.8345442843364923,0.5273427050532677,positive,8,64
