dataset,role,algorithm,seed,questions,category,extracted_correct,natural_eos,token_limit,count
svamp,frozen_base,base,1223,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1223,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1223,1000,missing_marker,1,0,1,1
svamp,frozen_base,base,1223,1000,missing_marker,1,1,0,114
svamp,frozen_base,base,1223,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1223,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1223,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1223,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1223,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1223,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1223,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1223,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1223,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,0,1,0,14
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,1,1,0,3
svamp,frozen_base,base,1223,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1229,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1229,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1229,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1229,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1229,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1229,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1229,1000,strict_correct,1,1,0,266
svamp,frozen_base,base,1229,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,0,1,0,103
svamp,frozen_base,base,1229,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1229,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1229,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1229,1000,missing_marker,0,0,1,6
svamp,frozen_base,base,1229,1000,missing_marker,0,1,0,164
svamp,frozen_base,base,1229,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1229,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1229,1000,missing_marker,1,0,1,0
svamp,frozen_base,base,1229,1000,missing_marker,1,1,0,451
svamp,frozen_base,base,1229,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1229,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1229,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1229,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1229,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1229,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1229,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1229,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1229,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,0,1,0,10
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,1,1,0,0
svamp,frozen_base,base,1229,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1231,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1231,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1231,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1231,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1231,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1231,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1231,1000,strict_correct,1,1,0,411
svamp,frozen_base,base,1231,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,0,1,0,100
svamp,frozen_base,base,1231,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1231,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1231,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1231,1000,missing_marker,0,0,1,4
svamp,frozen_base,base,1231,1000,missing_marker,0,1,0,110
svamp,frozen_base,base,1231,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1231,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1231,1000,missing_marker,1,0,1,3
svamp,frozen_base,base,1231,1000,missing_marker,1,1,0,363
svamp,frozen_base,base,1231,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1231,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1231,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1231,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1231,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1231,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1231,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1231,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1231,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,0,1,0,8
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,1,1,0,1
svamp,frozen_base,base,1231,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1237,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1237,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1237,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1237,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1237,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1237,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1237,1000,strict_correct,1,1,0,690
svamp,frozen_base,base,1237,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,0,1,0,185
svamp,frozen_base,base,1237,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1237,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1237,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1237,1000,missing_marker,0,0,1,10
svamp,frozen_base,base,1237,1000,missing_marker,0,1,0,27
svamp,frozen_base,base,1237,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1237,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1237,1000,missing_marker,1,0,1,1
svamp,frozen_base,base,1237,1000,missing_marker,1,1,0,70
svamp,frozen_base,base,1237,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1237,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1237,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1237,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1237,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1237,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1237,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1237,1000,multiple_markers,1,1,0,1
svamp,frozen_base,base,1237,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,0,1,0,15
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,1,1,0,1
svamp,frozen_base,base,1237,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,0,0,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,0,1,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,0,1,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,1,0,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,1,0,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_correct,1,1,0,719
svamp,posterior,AC-ALG1,1201,1000,strict_correct,1,1,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,0,0,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,0,1,0,128
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,0,1,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,1,0,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,1,0,1,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,1,1,0,0
svamp,posterior,AC-ALG1,1201,1000,strict_valid_wrong,1,1,1,0
svamp,posterior,AC-ALG1,1201,1000,missing_marker,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,missing_marker,0,0,1,10
svamp,posterior,AC-ALG1,1201,1000,missing_marker,0,1,0,26
svamp,posterior,AC-ALG1,1201,1000,missing_marker,0,1,1,0
svamp,posterior,AC-ALG1,1201,1000,missing_marker,1,0,0,0
svamp,posterior,AC-ALG1,1201,1000,missing_marker,1,0,1,1
svamp,posterior,AC-ALG1,1201,1000,missing_marker,1,1,0,107
svamp,posterior,AC-ALG1,1201,1000,missing_marker,1,1,1,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,0,0,1,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,0,1,0,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,0,1,1,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,1,0,0,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,1,0,1,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,1,1,0,0
svamp,posterior,AC-ALG1,1201,1000,multiple_markers,1,1,1,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,0,1,0,8
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,1,1,0,1
svamp,posterior,AC-ALG1,1201,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,0,0,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,0,0,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,0,1,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,0,1,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,1,0,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,1,0,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_correct,1,1,0,341
svamp,posterior,AC-ALG1,1213,1000,strict_correct,1,1,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,0,0,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,0,0,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,0,1,0,55
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,0,1,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,1,0,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,1,0,1,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,1,1,0,0
svamp,posterior,AC-ALG1,1213,1000,strict_valid_wrong,1,1,1,0
svamp,posterior,AC-ALG1,1213,1000,missing_marker,0,0,0,0
svamp,posterior,AC-ALG1,1213,1000,missing_marker,0,0,1,5
svamp,posterior,AC-ALG1,1213,1000,missing_marker,0,1,0,115
svamp,posterior,AC-ALG1,1213,1000,missing_marker,0,1,1,0
svamp,posterior,AC-ALG1,1213,1000,missing_marker,1,0,0,0
svamp,posterior,AC-ALG1,1213,1000,missing_marker,1,0,1,1
svamp,posterior,AC-ALG1,1213,1000,missing_marker,1,1,0,476
svamp,posterior,AC-ALG1,1213,1000,missing_marker,1,1,1,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,0,0,0,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,0,0,1,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,0,1,0,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,0,1,1,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,1,0,0,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,1,0,1,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,1,1,0,0
svamp,posterior,AC-ALG1,1213,1000,multiple_markers,1,1,1,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,0,1,0,5
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,1,1,0,2
svamp,posterior,AC-ALG1,1213,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,0,0,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,0,0,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,0,1,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,0,1,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,1,0,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,1,0,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_correct,1,1,0,742
svamp,posterior,AC-ALG1,1217,1000,strict_correct,1,1,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,0,0,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,0,0,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,0,1,0,132
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,0,1,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,1,0,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,1,0,1,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,1,1,0,0
svamp,posterior,AC-ALG1,1217,1000,strict_valid_wrong,1,1,1,0
svamp,posterior,AC-ALG1,1217,1000,missing_marker,0,0,0,0
svamp,posterior,AC-ALG1,1217,1000,missing_marker,0,0,1,2
svamp,posterior,AC-ALG1,1217,1000,missing_marker,0,1,0,19
svamp,posterior,AC-ALG1,1217,1000,missing_marker,0,1,1,0
svamp,posterior,AC-ALG1,1217,1000,missing_marker,1,0,0,0
svamp,posterior,AC-ALG1,1217,1000,missing_marker,1,0,1,1
svamp,posterior,AC-ALG1,1217,1000,missing_marker,1,1,0,84
svamp,posterior,AC-ALG1,1217,1000,missing_marker,1,1,1,0
