seed,round_zero_based,status,Q_before_first_update,Q_after_third_update,Q_change_through_three_updates,fourth_update_observed
73,2,eligible,-28.5116894855164,-28.471497889142483,0.04019159637391567,0
73,3,eligible,-20.147238524046458,-20.034840857042013,0.1123976670044442,0
73,4,eligible,-28.131481519237127,-27.601889364169892,0.5295921550672347,0
73,5,eligible,-22.36688696022037,-21.880911851882956,0.48597510833741353,0
73,6,eligible,-19.094346507659665,-18.484288646340108,0.6100578613195573,0
73,7,eligible,-12.358153844651042,-12.14885268577541,0.2093011588756326,0
73,8,eligible,-14.504898848631914,-14.169027104626824,0.33587174400508957,0
73,9,eligible,-12.2354317510908,-12.074141005665297,0.1612907454255037,0
73,10,eligible,-16.693372472986994,-16.906247093607114,-0.21287462062011997,0
73,11,eligible,-24.60932530678546,-24.144719120643217,0.4646061861422446,0
73,12,eligible,-18.393916461471377,-18.200132795609676,0.1937836658617016,0
73,13,eligible,-14.980552302884462,-14.552726803900441,0.42782549898402067,0
73,14,eligible,-12.385841442272067,-12.138045711442828,0.2477957308292389,0
73,15,eligible,-13.717775123671117,-13.22198453468718,0.4957905889839367,0
73,16,eligible,-15.755004233184081,-15.154130473012628,0.6008737601714529,0
73,17,eligible,-14.351205556071363,-14.141932289116085,0.2092732669552788,0
73,18,eligible,-10.55019396278658,-10.233995818183757,0.31619814460282214,0
73,19,eligible,-10.293026481335477,-9.655201840009688,0.6378246413257891,0
73,20,eligible,-13.539076915574697,-12.661215314961737,0.8778616006129596,0
73,21,eligible,-7.715298039656773,-7.324953237519367,0.3903448021374061,0
73,22,eligible,-6.713215152733028,-6.302975467406213,0.41023968532681465,0
73,23,eligible,-3.9172162488102913,-3.560738604515791,0.35647764429450035,0
73,24,eligible,-3.860958816483617,-3.4147582901641726,0.4462005263194442,0
73,25,eligible,-4.716140006610658,-4.2334892446233425,0.4826507619873155,0
73,26,eligible,-4.607462266184208,-3.772182160666044,0.835280105518164,0
73,27,eligible,-3.9767443925535986,-3.121209306710682,0.8555350858429165,0
73,28,eligible,-3.3326682788319886,-2.235553684644401,1.0971145941875875,0
73,29,eligible,-4.214026296538486,-3.3292403576850162,0.8847859388534696,0
73,30,eligible,-3.523551397025585,-2.5732774306088686,0.9502739664167166,0
73,31,eligible,-4.23804180516447,-2.8345442843364923,1.4034975208279779,0
