cell,seed,round,metric,value
Q5-EARLY-HALF,1201,24,final_strict,0.7675
Q5-EARLY-HALF,1201,32,final_strict,0.75
Q5-LATE-HALF,1201,0,final_extracted,0.745
Q5-LATE-HALF,1201,0,final_strict,0.6125
Q5-LATE-HALF,1201,1,final_extracted,0.745
Q5-LATE-HALF,1201,2,final_extracted,0.74
Q5-LATE-HALF,1201,4,final_extracted,0.7475
Q5-LATE-HALF,1201,8,final_extracted,0.7575
Q5-LATE-HALF,1201,16,final_extracted,0.7825
Q5-LATE-HALF,1201,24,final_extracted,0.805
Q5-LATE-HALF,1201,32,final_extracted,0.8325
Q5-LATE-HALF,1201,1,final_strict,0.6125
Q5-LATE-HALF,1201,2,final_strict,0.6125
Q5-LATE-HALF,1201,4,final_strict,0.6325
Q5-LATE-HALF,1201,8,final_strict,0.67
Q5-LATE-HALF,1201,16,final_strict,0.73
Q5-LATE-HALF,1201,24,final_strict,0.76
Q5-LATE-HALF,1201,32,final_strict,0.7825
Q5-UNIFORM075,1201,0,final_extracted,0.745
Q5-UNIFORM075,1201,0,final_strict,0.6125
Q5-UNIFORM075,1201,1,final_extracted,0.74
Q5-UNIFORM075,1201,2,final_extracted,0.7325
Q5-UNIFORM075,1201,4,final_extracted,0.7325
Q5-UNIFORM075,1201,8,final_extracted,0.7525
Q5-UNIFORM075,1201,16,final_extracted,0.7875
Q5-UNIFORM075,1201,24,final_extracted,0.805
Q5-UNIFORM075,1201,32,final_extracted,0.8075
Q5-UNIFORM075,1201,1,final_strict,0.6025
Q5-UNIFORM075,1201,2,final_strict,0.6075
Q5-UNIFORM075,1201,4,final_strict,0.6125
Q5-UNIFORM075,1201,8,final_strict,0.665
Q5-UNIFORM075,1201,16,final_strict,0.7325
Q5-UNIFORM075,1201,24,final_strict,0.7675
Q5-UNIFORM075,1201,32,final_strict,0.76
CTRL-base,1213,0,final_extracted,0.7525
CTRL-base,1213,0,final_strict,0.72
Q5-AD-M-LR1e-5-U1-K16,1213,0,final_extracted,0.7525
Q5-AD-M-LR1e-5-U1-K16,1213,0,final_strict,0.72
Q5-AD-M-LR1e-5-U1-K16,1213,1,final_extracted,0.755
Q5-AD-M-LR1e-5-U1-K16,1213,2,final_extracted,0.7625
Q5-AD-M-LR1e-5-U1-K16,1213,4,final_extracted,0.7675
Q5-AD-M-LR1e-5-U1-K16,1213,8,final_extracted,0.77
Q5-AD-M-LR1e-5-U1-K16,1213,16,final_extracted,0.8275
Q5-AD-M-LR1e-5-U1-K16,1213,24,final_extracted,0.82
Q5-AD-M-LR1e-5-U1-K16,1213,32,final_extracted,0.785
Q5-AD-M-LR1e-5-U1-K16,1213,1,final_strict,0.725
Q5-AD-M-LR1e-5-U1-K16,1213,2,final_strict,0.7325
Q5-AD-M-LR1e-5-U1-K16,1213,4,final_strict,0.7225
Q5-AD-M-LR1e-5-U1-K16,1213,8,final_strict,0.73
Q5-AD-M-LR1e-5-U1-K16,1213,16,final_strict,0.7325
Q5-AD-M-LR1e-5-U1-K16,1213,24,final_strict,0.6325
Q5-AD-M-LR1e-5-U1-K16,1213,32,final_strict,0.555
Q5-EARLY-HALF,1213,0,final_extracted,0.7525
Q5-EARLY-HALF,1213,0,final_strict,0.72
Q5-EARLY-HALF,1213,1,final_extracted,0.7525
Q5-EARLY-HALF,1213,2,final_extracted,0.7425
Q5-EARLY-HALF,1213,4,final_extracted,0.77
Q5-EARLY-HALF,1213,8,final_extracted,0.78
Q5-EARLY-HALF,1213,16,final_extracted,0.83
Q5-EARLY-HALF,1213,24,final_extracted,0.8125
Q5-EARLY-HALF,1213,32,final_extracted,0.7875
Q5-EARLY-HALF,1213,1,final_strict,0.72
Q5-EARLY-HALF,1213,2,final_strict,0.71
Q5-EARLY-HALF,1213,4,final_strict,0.7225
Q5-EARLY-HALF,1213,8,final_strict,0.725
Q5-EARLY-HALF,1213,16,final_strict,0.7225
Q5-EARLY-HALF,1213,24,final_strict,0.5875
Q5-EARLY-HALF,1213,32,final_strict,0.555
Q5-LATE-HALF,1213,0,final_extracted,0.7525
Q5-LATE-HALF,1213,0,final_strict,0.72
Q5-LATE-HALF,1213,1,final_extracted,0.75
Q5-LATE-HALF,1213,2,final_extracted,0.755
Q5-LATE-HALF,1213,4,final_extracted,0.775
Q5-LATE-HALF,1213,8,final_extracted,0.7725
Q5-LATE-HALF,1213,16,final_extracted,0.8175
Q5-LATE-HALF,1213,24,final_extracted,0.8225
Q5-LATE-HALF,1213,32,final_extracted,0.7975
Q5-LATE-HALF,1213,1,final_strict,0.72
Q5-LATE-HALF,1213,2,final_strict,0.7275
Q5-LATE-HALF,1213,4,final_strict,0.735
Q5-LATE-HALF,1213,8,final_strict,0.7175
Q5-LATE-HALF,1213,16,final_strict,0.7
Q5-LATE-HALF,1213,24,final_strict,0.6575
Q5-LATE-HALF,1213,32,final_strict,0.66
Q5-UNIFORM075,1213,0,final_extracted,0.7525
Q5-UNIFORM075,1213,0,final_strict,0.72
Q5-UNIFORM075,1213,1,final_extracted,0.7625
Q5-UNIFORM075,1213,2,final_extracted,0.75
Q5-UNIFORM075,1213,4,final_extracted,0.7625
Q5-UNIFORM075,1213,8,final_extracted,0.77
Q5-UNIFORM075,1213,16,final_extracted,0.835
Q5-UNIFORM075,1213,24,final_extracted,0.805
Q5-UNIFORM075,1213,32,final_extracted,0.77
Q5-UNIFORM075,1213,1,final_strict,0.7275
Q5-UNIFORM075,1213,2,final_strict,0.72
Q5-UNIFORM075,1213,4,final_strict,0.715
Q5-UNIFORM075,1213,8,final_strict,0.7125
Q5-UNIFORM075,1213,16,final_strict,0.73
Q5-UNIFORM075,1213,24,final_strict,0.595
Q5-UNIFORM075,1213,32,final_strict,0.5425
CTRL-base,1217,0,final_extracted,0.7675
CTRL-base,1217,0,final_strict,0.5125
Q5-AD-M-LR1e-5-U1-K16,1217,0,final_extracted,0.7675
Q5-AD-M-LR1e-5-U1-K16,1217,0,final_strict,0.5125
Q5-AD-M-LR1e-5-U1-K16,1217,1,final_extracted,0.74
Q5-AD-M-LR1e-5-U1-K16,1217,2,final_extracted,0.7775
Q5-AD-M-LR1e-5-U1-K16,1217,4,final_extracted,0.7725
Q5-AD-M-LR1e-5-U1-K16,1217,8,final_extracted,0.795
Q5-AD-M-LR1e-5-U1-K16,1217,16,final_extracted,0.835
Q5-AD-M-LR1e-5-U1-K16,1217,24,final_extracted,0.82
Q5-AD-M-LR1e-5-U1-K16,1217,32,final_extracted,0.8225
Q5-AD-M-LR1e-5-U1-K16,1217,1,final_strict,0.5025
Q5-AD-M-LR1e-5-U1-K16,1217,2,final_strict,0.535
Q5-AD-M-LR1e-5-U1-K16,1217,4,final_strict,0.5475
Q5-AD-M-LR1e-5-U1-K16,1217,8,final_strict,0.605
Q5-AD-M-LR1e-5-U1-K16,1217,16,final_strict,0.7225
Q5-AD-M-LR1e-5-U1-K16,1217,24,final_strict,0.7525
Q5-AD-M-LR1e-5-U1-K16,1217,32,final_strict,0.775
Q5-EARLY-HALF,1217,0,final_extracted,0.7675
Q5-EARLY-HALF,1217,0,final_strict,0.5125
Q5-EARLY-HALF,1217,1,final_extracted,0.7775
Q5-EARLY-HALF,1217,2,final_extracted,0.7475
Q5-EARLY-HALF,1217,4,final_extracted,0.7625
Q5-EARLY-HALF,1217,8,final_extracted,0.8
Q5-EARLY-HALF,1217,16,final_extracted,0.83
Q5-EARLY-HALF,1217,24,final_extracted,0.83
Q5-EARLY-HALF,1217,32,final_extracted,0.8025
Q5-EARLY-HALF,1217,1,final_strict,0.515
Q5-EARLY-HALF,1217,2,final_strict,0.505
Q5-EARLY-HALF,1217,4,final_strict,0.54
Q5-EARLY-HALF,1217,8,final_strict,0.6075
Q5-EARLY-HALF,1217,16,final_strict,0.6925
Q5-EARLY-HALF,1217,24,final_strict,0.7525
Q5-EARLY-HALF,1217,32,final_strict,0.71
Q5-LATE-HALF,1217,0,final_extracted,0.7675
Q5-LATE-HALF,1217,0,final_strict,0.5125
Q5-LATE-HALF,1217,1,final_extracted,0.7675
Q5-LATE-HALF,1217,2,final_extracted,0.77
Q5-LATE-HALF,1217,4,final_extracted,0.7525
Q5-LATE-HALF,1217,8,final_extracted,0.8075
Q5-LATE-HALF,1217,16,final_extracted,0.825
Q5-LATE-HALF,1217,24,final_extracted,0.8225
Q5-LATE-HALF,1217,32,final_extracted,0.8075
Q5-LATE-HALF,1217,1,final_strict,0.5125
Q5-LATE-HALF,1217,2,final_strict,0.5625
Q5-LATE-HALF,1217,4,final_strict,0.525
Q5-LATE-HALF,1217,8,final_strict,0.6025
Q5-LATE-HALF,1217,16,final_strict,0.7025
Q5-LATE-HALF,1217,24,final_strict,0.76
Q5-LATE-HALF,1217,32,final_strict,0.75
Q5-UNIFORM075,1217,0,final_extracted,0.7675
Q5-UNIFORM075,1217,0,final_strict,0.5125
Q5-UNIFORM075,1217,1,final_extracted,0.75
Q5-UNIFORM075,1217,2,final_extracted,0.78
Q5-UNIFORM075,1217,4,final_extracted,0.77
Q5-UNIFORM075,1217,8,final_extracted,0.7925
Q5-UNIFORM075,1217,16,final_extracted,0.825
Q5-UNIFORM075,1217,24,final_extracted,0.825
Q5-UNIFORM075,1217,32,final_extracted,0.8275
Q5-UNIFORM075,1217,1,final_strict,0.5125
Q5-UNIFORM075,1217,2,final_strict,0.54
Q5-UNIFORM075,1217,4,final_strict,0.5525
Q5-UNIFORM075,1217,8,final_strict,0.6125
Q5-UNIFORM075,1217,16,final_strict,0.7125
Q5-UNIFORM075,1217,24,final_strict,0.7675
Q5-UNIFORM075,1217,32,final_strict,0.79
